Reference, Value, Footprint, Datasheet
"JP19","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"J2","Conn_01x17_Male","Connector_PinHeader_2.54mm:PinHeader_1x17_P2.54mm_Vertical","~"
"U1","74HCT164","footprints:SOP-14","https://assets.nexperia.com/documents/data-sheet/74HC_HCT164.pdf"
"JP1","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"J1","Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"JP18","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP17","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP16","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP15","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP14","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP13","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP12","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP11","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP10","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP9","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP8","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP7","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP6","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP5","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP4","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP3","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP2","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"TP1","5V","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"U3","TP4056","Package_SO:SOP-8_3.76x4.96mm_P1.27mm",""
"D1","Yellow","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"R1","330","Resistor_SMD:R_0805_2012Metric","~"
"R2","1k5","Resistor_SMD:R_0805_2012Metric","~"
"U2","HJT622","footprints:HJT622",""
"Q1","AO3400","Package_TO_SOT_SMD:SOT-23","~"
"C1","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"U5","TP4056","Package_SO:SOP-8_3.76x4.96mm_P1.27mm",""
"D2","Yellow","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"R3","330","Resistor_SMD:R_0805_2012Metric","~"
"R4","1k5","Resistor_SMD:R_0805_2012Metric","~"
"U4","HJT622","footprints:HJT622",""
"Q2","AO3400","Package_TO_SOT_SMD:SOT-23","~"
"C2","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"U7","TP4056","Package_SO:SOP-8_3.76x4.96mm_P1.27mm",""
"D3","Yellow","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"R5","330","Resistor_SMD:R_0805_2012Metric","~"
"R6","1k5","Resistor_SMD:R_0805_2012Metric","~"
"U6","HJT622","footprints:HJT622",""
"Q3","AO3400","Package_TO_SOT_SMD:SOT-23","~"
"C3","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"U9","TP4056","Package_SO:SOP-8_3.76x4.96mm_P1.27mm",""
"D4","Yellow","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"R7","330","Resistor_SMD:R_0805_2012Metric","~"
"R8","1k5","Resistor_SMD:R_0805_2012Metric","~"
"U8","HJT622","footprints:HJT622",""
"Q4","AO3400","Package_TO_SOT_SMD:SOT-23","~"
"C4","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"U11","TP4056","Package_SO:SOP-8_3.76x4.96mm_P1.27mm",""
"D5","Yellow","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"R9","330","Resistor_SMD:R_0805_2012Metric","~"
"R10","1k5","Resistor_SMD:R_0805_2012Metric","~"
"U10","HJT622","footprints:HJT622",""
"Q5","AO3400","Package_TO_SOT_SMD:SOT-23","~"
"C5","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"U13","TP4056","Package_SO:SOP-8_3.76x4.96mm_P1.27mm",""
"D6","Yellow","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"R11","330","Resistor_SMD:R_0805_2012Metric","~"
"R12","1k5","Resistor_SMD:R_0805_2012Metric","~"
"U12","HJT622","footprints:HJT622",""
"Q6","AO3400","Package_TO_SOT_SMD:SOT-23","~"
"C6","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"U15","TP4056","Package_SO:SOP-8_3.76x4.96mm_P1.27mm",""
"D7","Yellow","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"R13","330","Resistor_SMD:R_0805_2012Metric","~"
"R14","1k5","Resistor_SMD:R_0805_2012Metric","~"
"U14","HJT622","footprints:HJT622",""
"Q7","AO3400","Package_TO_SOT_SMD:SOT-23","~"
"C7","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"U17","TP4056","Package_SO:SOP-8_3.76x4.96mm_P1.27mm",""
"D8","Yellow","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"R15","330","Resistor_SMD:R_0805_2012Metric","~"
